ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates
MX-0360;small_airport;Tumbiscatio Airport;3035;NA;MX;MX-MIC;Tumbiscatio de Ruiz;;;TBC;"-102.375289; 18.519963"
MX-0361;small_airport;Punta Bufeo Airport;16;NA;MX;MX-BCN;Ensenada;;;PBF;"-114.447676; 29.907"
MX-0362;small_airport;El Socorrito Airport;16;NA;MX;MX-BCN;Ensenada;;;SCO;"-115.821263; 30.320266"
MX-0363;small_airport;Rancho El Milagro Airport;171;NA;MX;MX-CAM;Rancho El Milagro;;;RML;"-115.929698; 30.61667"
MX-0364;small_airport;Rancho Santa Maria Airport;3898;NA;MX;MX-CHH;Aldama;;;CFF;"-105.677934; 28.753366"
MX-0365;small_airport;San Juan de Norotal Airstrip;2123;NA;MX;MX-DUR;Tamazula;;;SJW;"-106.979489; 25.151723"
MX-0366;small_airport;Ganaderia Santo Domingo Airport;4380;NA;MX;MX-COA;Melchor Muzquiz;;;GSD;"-102.393098; 28.942346"
MX-0367;small_airport;Baborigame Airport;6453;NA;MX;MX-CHH;Guadalupe Y Calvo;;;BAB;"-107.270901; 26.433538"
MX-0368;small_airport;El Barril Airport;95;NA;MX;MX-BCN;El Barril;;;EBI;"-112.885271; 28.306719"
MX-0369;small_airport;El Cobano Airport;2139;NA;MX;MX-MIC;Gabriel Zamora;;;COB;"-102.008585; 19.155378"
MX-0370;small_airport;La Huerta Airport;85;NA;MX;MX-SON;Cajeme;;;JMS;"-110.019717; 27.455281"
MX-0371;small_airport;El Buen Pastor Airstrip;131;NA;MX;MX-BCN;Ensenada;;;EBP;"-115.92079; 30.571796"
MX-0372;small_airport;Los Pinos Airport;108;NA;MX;MX-BCN;Ensenada;;;PIN;"-115.868816; 30.41432"
MX-0373;heliport;Rancho La Fortuna Heliport;6978;NA;MX;MX-PUE;Puebla;;;HRI;"-98.261044; 19.041877"
MX-0374;small_airport;Sergio Perez de Leon Airport;1299;NA;MX;MX-NLE;Cadereyta;;;SPL;"-100.082557; 25.505621"
MX-0375;small_airport;Guachochi Airport;8005;NA;MX;MX-CHH;Guachochi;;;GCC;"-107.061353; 26.842652"
MX-0376;heliport;Televisa San Angel Heliport;7772;NA;MX;MX-DIF;Alvaro Obregon;;;HTW;"-99.204256; 19.344223"
